    17,0000002500,    -7627,    -3311,   11000,    -5,     39,     8,    -59,     5,    -7644,    -3308,   11019,    -6,     27,     12,    -38,     1,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
    18,0000002656,    -7220,    -3827,   11123,    -1,     37,     11,    -55,     2,    -7232,    -3830,   11141,     0,     30,     13,    -42,    -5,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
    19,0000002812,    -6804,    -4343,   11223,    -2,     34,     10,    -53,    -2,    -6816,    -4348,   11243,     0,     26,     16,    -41,    -3,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
    20,0000002968,    -6352,    -4876,   11312,    -4,     32,     17,    -50,     0,    -6369,    -4883,   11335,    -4,     24,     17,    -46,     2,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
    21,0000003125,    -5903,    -5397,   11394,    -1,     25,     16,    -55,     0,    -5922,    -5407,   11410,    -3,     23,     16,    -37,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
    22,0000003281,    -5453,    -5869,   11426,     1,     30,     22,    -61,     0,    -5472,    -5876,   11445,    -6,     22,     19,    -38,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
    23,0000003437,    -4984,    -6319,   11406,    -9,     30,     24,    -65,     2,    -5008,    -6331,   11424,    -5,     21,     23,    -42,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
    24,0000003593,    -4493,    -6765,   11351,    -5,     26,     25,    -57,     2,    -4513,    -6778,   11374,     0,     8,     27,    -45,     4,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
    25,0000003749,    -3977,    -7200,   11263,    -4,     21,     27,    -60,     6,    -4009,    -7208,   11284,    -5,     15,     18,    -40,    -1,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
    26,0000003906,    -3455,    -7607,   11137,    -4,     23,     30,    -60,     2,    -3470,    -7616,   11151,    -1,     9,     31,    -43,     4,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
    27,0000004062,    -2928,    -7998,   10981,     3,     13,     29,    -58,     1,    -2952,    -8001,   11012,    -3,     15,     32,    -43,    -1,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
    28,0000004218,    -2406,    -8339,   10802,    -6,     17,     30,    -50,    -3,    -2434,    -8340,   10816,     2,     2,     33,    -37,     1,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
    29,0000004375,    -1863,    -8685,   10575,     0,     14,     35,    -50,    -1,    -1890,    -8687,   10596,    -6,     15,     32,    -45,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
    30,0000004531,    -1277,    -9038,   10343,    -2,     10,     40,    -54,     2,    -1310,    -9039,   10364,     0,     6,     35,    -43,    -1,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
    31,0000004687,    -713,    -9350,    10078,    -5,     0,     38,    -59,     0,    -741,    -9347,    10100,    -6,     8,     28,    -42,    -6,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
    32,0000004843,    -131,    -9656,    9802,    -9,     3,     42,    -59,     7,    -169,    -9639,    9802,    -3,     9,     28,    -37,    -3,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
    33,0000005000,     411,    -9913,    9503,    -1,     1,     37,    -48,    -2,     381,    -9910,    9516,     0,    -2,     33,    -36,    -4,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
    34,0000005156,     964,    -10155,    9199,    -1,    -4,     42,    -55,     1,     928,    -10151,    9206,    -5,    -3,     32,    -31,    -4,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
    35,0000005312,    1529,    -10364,    8845,    -6,     4,     42,    -49,    -1,    1496,    -10366,    8845,    -5,    -1,     34,    -33,    -3,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
    36,0000005468,    2120,    -10615,    8484,    -6,    -6,     46,    -48,     5,    2079,    -10613,    8488,    -2,    -4,     33,    -26,    -3,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
    37,0000005624,    2670,    -10810,    8126,    -1,    -9,     38,    -41,    -2,    2646,    -10823,    8131,    -3,    -10,     35,    -38,    -1,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
