0000000001,0000000000,-00029070,-00014847,00059367,00028078,-00014813,00091936,-00077231,-00093384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000002,0000000500,-00028777,-00016680,00054196,00028079,-00029556,00096410,-00066321,-00093312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000003,0000001000,-00028518,-00016706,00048206,00028085,-00043566,00098798,-00054106,-00093758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000004,0000001500,-00028267,-00016097,00041556,00028091,-00056841,00098660,-00040481,-00093166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000005,0000002000,-00028022,-00015568,00035044,00028087,-00068834,00095823,-00025870,-00092610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000006,0000002500,-00027848,-00013468,00028515,00028102,-00078993,00090474,-00010837,-00092801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000007,0000003000,-00027709,-00009968,00021552,00028113,-00087321,00082926,00004376,-00093084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000008,0000003500,-00027599,-00004984,00014075,00028128,-00093774,00073342,00019466,-00092810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000009,0000004000,-00027562,00000622,00007083,00028148,-00098149,00062155,00033952,-00092637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000010,0000004500,-00027581,00007503,00001239,00028177,-00099935,00049380,00047560,-00092391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000011,0000005000,-00027621,00014085,-00005641,00028190,-00099084,00035261,00060220,-00092427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000012,0000005500,-00027666,00020713,-00011426,00028200,-00095493,00020222,00071563,-00092809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000013,0000006000,-00027779,00027552,-00015323,00028216,-00089657,00005042,00081244,-00092244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000014,0000006500,-00027979,00035097,-00018535,00028245,-00081457,-00010466,00089281,-00092545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000015,0000007000,-00028190,00042144,-00020641,00028262,-00071074,-00025686,00095073,-00092371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000016,0000007500,-00028422,00047843,-00021324,00028260,-00059113,-00040130,00098469,-00093119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000017,0000008000,-00028701,00053768,-00020955,00028274,-00045559,-00053803,00099247,-00092791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000018,0000008500,-00028988,00060352,-00020884,00028299,-00030954,-00066221,00097483,-00092444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000019,0000009000,-00029262,00065397,-00019626,00028307,-00015603,-00077033,00093055,-00092909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000020,0000009500,-00029551,00069596,-00016871,00028313,-00000385,-00085792,00086305,-00092553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000021,0000010000,-00029877,00072856,-00012473,00028316,00014937,-00092588,00077244,-00093145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000022,0000010500,-00030156,00074335,-00007195,00028312,00029673,-00097171,00066438,-00092844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000023,0000011000,-00030404,00074203,-00000972,00028313,00043705,-00099520,00054198,-00092954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000024,0000011500,-00030665,00073810,00005465,00028310,00056956,-00099323,00040543,-00093418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000025,0000012000,-00030910,00073065,00012070,00028304,00068945,-00096344,00025776,-00093674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000026,0000012500,-00031090,00071237,00018252,00028294,00079058,-00091074,00010854,-00093072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000027,0000013000,-00031227,00067627,00025638,00028276,00087353,-00083504,-00004335,-00093109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000028,0000013500,-00031339,00062832,00033054,00028262,00093728,-00073862,-00019389,-00093300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000029,0000014000,-00031369,00057265,00039810,00028243,00098101,-00062626,-00033921,-00093957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000030,0000014500,-00031335,00050586,00045960,00028232,00099917,-00049914,-00047484,-00093182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000031,0000015000,-00031312,00043484,00052645,00028208,00099151,-00035833,-00060177,-00093866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000032,0000015500,-00031254,00036839,00058354,00028191,00095466,-00020743,-00071494,-00093410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000033,0000016000,-00031154,00030319,00062358,00028178,00089511,-00005554,-00081072,-00093219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000034,0000016500,-00030952,00022332,00065695,00028156,00081248,00009941,-00089021,-00093702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000035,0000017000,-00030735,00015569,00067671,00028134,00070943,00025103,-00094833,-00093848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000036,0000017500,-00030514,00009940,00068328,00028127,00058950,00039626,-00098310,-00093694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000037,0000018000,-00030226,00003622,00068044,00028114,00045311,00053332,-00099054,-00093566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000038,0000018500,-00029946,-00002542,00067757,00028099,00030617,00065660,-00097113,-00093493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000039,0000019000,-00029673,-00007874,00066532,00028089,00015415,00076410,-00092743,-00093594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000040,0000019500,-00029387,-00011780,00063711,00028076,00000163,00085279,-00086070,-00093521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000041,0000020000,-00029062,-00015108,00059292,00028079,-00015161,00092107,-00077039,-00093430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000042,0000020500,-00028769,-00016672,00054071,00028082,-00029937,00096515,-00066025,-00092910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000043,0000021000,-00028519,-00016490,00047820,00028087,-00043858,00098780,-00053795,-00093229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000044,0000021500,-00028262,-00015965,00041392,00028092,-00057147,00098648,-00040193,-00093248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000045,0000022000,-00028009,-00015371,00034561,00028095,-00069102,00095697,-00025508,-00092965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
