1,0,13683,-14476,442,0,12600,-15142,-296,255,2586,1753,-1553,-980,7021,4914,-1820,0,-3583,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39,13793,-14386,257,-2730,12724,-15066,-451,215,9484,1765,-1553,-990,-2340,3276,-3640,0,-4095,5461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,78,13902,-14284,63,2730,12838,-15047,-620,333,9484,1778,-1545,-1009,2340,9829,-3640,-1638,-8191,-1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,117,14004,-14185,-130,-5461,13000,-14952,-790,255,2586,1793,-1545,-1024,7021,6553,-1137,-4914,-2559,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,156,14105,-14071,-322,0,13176,-14875,-1033,235,-2586,1803,-1545,-1040,4680,3276,0,0,-1023,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,195,14199,-13959,-519,-5461,13247,-14780,-1179,255,2586,1816,-1540,-1055,-2340,3276,-1820,0,-3071,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,234,14294,-13842,-717,0,13409,-14627,-1376,255,-2586,1829,-1533,-1069,-2340,-1638,-2730,819,0,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,273,14384,-13727,-918,-8191,13480,-14541,-1557,264,2586,1840,-1534,-1080,-2340,0,-1820,6553,-7679,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,312,14476,-13601,-1112,10922,13647,-14465,-1708,235,-862,1854,-1525,-1095,-2340,3276,-2730,819,-6143,2940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,351,14559,-13487,-1314,-5461,13742,-14313,-1954,235,9484,1866,-1525,-1110,0,4914,0,819,1023,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,390,14647,-13361,-1503,-2730,13823,-14231,-2085,255,-3449,1879,-1520,-1125,-2340,-6553,-1820,-2457,4095,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,429,14736,-13244,-1711,-5461,13932,-14093,-2271,274,-862,1895,-1515,-1139,0,3276,-3640,3276,-4095,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,468,14822,-13121,-1889,0,14008,-13936,-2456,333,2586,1905,-1505,-1149,0,-4914,-1820,6553,0,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,507,14903,-13000,-2086,2730,14142,-13826,-2656,215,9484,1915,-1505,-1164,-2340,3276,-910,0,-4095,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,546,14986,-12878,-2272,-8191,14199,-13688,-2826,196,2586,1928,-1502,-1179,-2340,3276,-1820,6553,-2047,-4620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
